Classification,Pitch0,Roll0,Pitch1,Roll1,Pitch2,Roll2,Pitch3,Roll3,Pitch4,Roll4
A,-570,-855,-456,-969,-513,-969,-912,-513,912,114
A,-570,-912,-456,-1026,-456,-1026,-855,-627,912,0
A,-684,-798,-570,-969,-570,-969,-912,-627,969,-57
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-342,-912,-513,-969,-513,-1140,-114,1026,0
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-171,1026,57
A,-912,-342,-912,-513,-969,-570,-1083,-171,1026,57
A,-912,-342,-912,-513,-969,-570,-1083,-171,1026,57
A,-912,-342,-912,-513,-969,-570,-1083,-171,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-171,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,0
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,0
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,0
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-969,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-228,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,-57,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,-57,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-1026,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-399,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1140,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1083,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-570,-1140,-171,1026,-57
A,-969,-399,-969,-570,-969,-513,-1140,-171,1026,-57
A,-969,-342,-969,-513,-1026,-456,-1140,-114,1083,-114
A,-969,-285,-969,-456,-1026,-399,-1083,-57,1083,-114
A,-912,-285,-969,-456,-969,-456,-1083,-57,1083,-57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,0
